w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,"N(icon=n1f55f7_hermit_1.gif,file=healerDialog,name=Healmere",f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,f,A,A,f,f,f,f,f,f,f,f,"N(icon=n125d83_misc_male_3.gif,file=momDialog,name=Randall",f,f,f,f,f,f,f,f,f,w
w,f,A,A,A,A,A,f,f,f,f,f,f,f,f,"T(icon=castle.gif,map=castle1,tileset=castle,start=2-21",f,f,f,f,f,f,f,w
w,f,f,w,A,A,A,A,f,f,f,f,f,f,f,f,f,f,f,C,C,C,f,w
w,f,f,w,w,A,A,A,A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,f,f,w,w,A,A,A,f,f,f,f,f,f,f,f,f,f,D,f,f,f,w
w,f,f,f,w,w,A,A,A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,f,f,f,w,w,A,A,f,f,f,B,B,f,f,f,f,f,f,f,f,f,w
w,f,f,f,"T(icon=city.gif,map=castle2,tileset=castle,start=3-2",f,w,A,A,f,f,f,B,B,B,B,f,f,f,f,D,f,f,w
w,f,f,f,f,f,w,w,A,f,f,B,B,B,B,B,f,f,f,f,f,f,f,w
w,f,f,f,f,w,w,w,A,f,f,f,f,B,B,B,B,f,f,f,f,D,f,w
w,f,f,f,w,w,w,A,A,f,f,f,f,B,B,B,B,B,f,f,f,f,f,w
w,f,f,w,w,A,A,A,f,f,f,f,f,f,f,B,f,f,f,f,f,f,f,w
w,f,A,A,A,A,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,"T(icon=grs_gate.gif,map=plains3,tileset=plains,start=3-18",f,w
w,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
